Company Name,Manufacturer/Supplier,Category,Specialty,MOQ,Website,Used By,Email,Phone Number,Country of Origin
Maglificio Marilina,Manufacturer,Knitwear,Womenswear,,https://maglificiomarilina.com/en,Available Upon Request,info@maglificiomarilina.it,(+39) 075 847 2327,Italy
Gemma,Manufacturer,Knitwear & Outerwear,Womenswear & Menswear,,https://gemma.it/en/,Available Upon Request,gemma@gemma.it,(+39) 0331 881314,Italy
Pattern Group,Manufacturer,Knitwear & Leather Goods,Womenswear & Menswear,,https://www.patterngroup.it/en,Available Upon Request,pattern@pattern.it,(+39) 011 4531597,Italy
Cardinalini,Manufacturer/Supplier,Jersey Knits,Womenswear & Menswear,,https://www.cardinalini.com,Available Upon Request,info@cardinalini.com,(+39) 0744 930265,Italy
Ommy Srl,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear, Children & Baby",,https://www.ommysrl.it,Available Upon Request,info@ommysrl.it,(+39) 0721 403590,Italy
Manifatture LG,Manufacturer,Knitwear & Accessories,Womenswear & Menswear,,https://www.manifatturelg.it/en/home,Available Upon Request,Web Form,(+39) 0883 390675,Italy
Hoplites S.R.L,Manufacturer/Supplier,"Knitwear, Outerwear, Dresses & Formal Wear",Womenswear & Menswear,,https://www.hoplites.eu,Available Upon Request,Web Form,(+39) 0883 887321,Italy
NF Group,Manufacturer/Supplier,"Knitwear, Schoolwear, Workwear & Sportswear","Womenswear, Menswear, Children & Hospitality",40 pcs,http://www.nfgroup.it,Available Upon Request,info@nfgroup.it,(+39) 0653 273381,Italy
Con. Fi Fashion Service,Manufacturer,"Knitwear, Pants, Outerwear & Dresses",Womenswear & Menswear,50 pcs,https://www.confifashionservice.com/?lang=en,Diesel & A Kind of Guise ,hello@confifashionservice.com,(+39) 3792 583989,Italy
Piellepiù,Manufacturer/Supplier,Knitwear & Wovens,"Womenswear, Menswear, Children & Baby",,https://www.piellepiu.it/en/,Available Upon Request,info@piellepiu.it,(+39) 0574 730195,Italy
Sartis,Manufacturer,Outerwear,Womenswear & Menswear,,https://sartis.eu/en/,"Moncler, Max Mara, Prada, D&G, Dainese, & Versace",info@sartis.eu,(+39) 0415 952753,Italy
Confezioni Velvet,Manufacturer,"Knitwear, Skirts & Pants",Womenswear,,https://www.confezionivelvet.com/?lang=en,Available Upon Request,info@confezionivelvet.it,(+39) 0309 937451,Italy
Forever Fashion,Manufacturer,Knitwear,Womenswear & Menswear,,https://forever-fashion.it/,Available Upon Request,info@forever-fashion.it,Web Form,Italy
Studio Moda 83 S.R.L,Manufacturer,"Knitwear, Skirts, Outerwear, Athleisure & Pants",Womenswear,,https://studiomodaa83.it,Available Upon Request,info@studiomoda83.it,(+39) 0742 99973,Italy
Graphi Mode,Manufacturer,"Knitwear, Skirts, Outerwear, Athleisure & Pants",Womenswear,,https://graphimode.com/en./home-en/,"Versace, Valentino, Diesel Black Gold, Just Cavalli, Jacob Cohen, Raf Simons & Aeronautica Militare",info@graphimode.com,(+39) 0499 200222,Italy
Parafioriti,Manufacturer,"Knitwear, Skirts, Outerwear, Formal Wear & Pants",Womenswear,,https://parafioriticonfezioni.it/en/,"LVMH, Kering & Richemont",info@parafioriticonfezioni.it,(+39) 0547 403691,Italy
Memteks Textiles,Manufacturer,Activewear & Athleisure,Womenswear & Menswear,,https://memteks.com/#,Gymshark,info@memteks.com,(+90) 212 422 57 67,Turkey
Gelisim,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://gelisimtekstil.com.tr/,"The North Face, Napapijri, Timberland & Vans",info@gelisimtekstil.com.tr,(+90) 212 886 60 40,Turkey
Barco Textile,Manufacturer,"Sportswear, Swimwear, Activewear & Athleisure",Menswear,,https://barco.com.tr/textile/,"Moncler, Lacoste, Hugo Boss, Armani, The North Face, Napapijri, Superdry & Guess",barco@barco.com.tr,(+90) 212 867 49 00,Turkey
Chantuque,Manufacturer,Denim,Womenswear & Menswear,,https://www.chantuque.com/,"ASOS, River Island & Alexander Wang",info@chantuque.com,(+202) 2273 27 65,Turkey
Aster Textile,Manufacturer,Knitwear,Womenswear & Menswear,,https://www.astertextile.com/en/,"Lacoste, Nude Project, Urban Outfitters, Sandro Paris & The North Face",info@astertextile.com,Web Form,Turkey
Maia Sourcing,Manufacturer,"Jersey Knits, Knitwear, Activewear, Athleisure & Accessories",Womenswear & Menswear,,https://www.maiasourcing.com/,Represent & Avirex,info@maiasourcing.com,(+31) 629 253 880,Turkey
Liberty Textile,Manufacturer,"Activewear, Athleisure & Intimates",Womenswear & Menswear,,https://libteks.com/,"Gymshark, Lululemon & Asics",info@libteks.com,0212 428 51 51,Turkey
Eurotex,Manufacturer,Activewear & Athleisure,Womenswear & Menswear,,https://www.eurotex.com.tr/,Skims,info@eurotex.com.tr,(+90) 212 438 54 25,Turkey
Zeriatex,Manufacturer,Wovens,Womenswear & Children,,https://zeriatex.com/,Zara,info@zeriatex.com,(+90) 212 677 65 22,Turkey
Besli Tekstil,Manufacturer,Knitwear,Womenswear,,https://www.beslitekstil.com.tr/,"ASOS, River Island, Reiss, Next & Mango",info@beslitekstil.com.tr,(+90) 212 689 85,Turkey
Han Textile,Manufacturer,Knitwear & Outerwear,Womenswear & Menswear,,https://hantextile.com.tr/,"Zara, ASOS, Bershka & GAP",info@hantextile.com.tr,(+90) 212 430 75 84,Turkey
Taha Group,Manufacturer/Supplier,Knitwear,Womenswear & Menswear,,https://www.tahagroup.com/,Ivy Park & ASOS,info@tahagroup.com,(+90) 212 446 39 90,Turkey
Blok Moda,Manufacturer,Knitwear,Womenswear & Menswear,,https://www.blokmoda.com.tr/,ASOS,info@blokmoda.com,(+90) 212 886 18 50,Turkey
Wishne Sourcing,Manufacturer,"Knitwear, Denim, Skirts & Outerwear",Womenswear & Menswear,,https://www.wishnesourcing.com/index.asp,ASOS & Next,info@wishnesourcing.com,(+90) 212 590 89 05,Turkey
Eker Örme,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Chidren",,http://ekerorme.com/,"Topman, River Island & Urban Outfitters",omereker@ekerorme.com,(+90) 212 612 35 37,Turkey
Lives SAC,Manufacturer,Knitwear,Womenswear & Menswear,,https://www.lives.com.pe/,"Burberry, Helmut Lang, Marc Jacobs & Armani",commercial@lives.com.pe,(511) 247-3659 ext.230,Peru
Textil Del Valle SA,Manufacturer/Supplier,"Knitwear, Dresses & Outerwear",Womenswear & Menswear,,https://www.textildelvalle.pe/index.html,"Burberry, Lacoste, Lululemon & Calvin Klein",Web Form,(+51) 1 217-0900,Peru
Peruvian Sourcing Group S.A.C,Manufacturer,Knitwear,Womenswear & Menswear,,https://www.psgsac.com/,"Kith, Moose Knuckles, Orvis, Rag & Bone, Huckberry & Håndvaerk",lsoldevilla@psgsac.com,(511) 337-0038,Peru
Startex S.A,Manufacturer/Supplier,Workwear,Womenswear & Menswear,,http://www.startex.com.ar/,"Ralph Lauren, Timberland, New Era & The North Face",Web Form,Web Form,Argentina
Rocedes,Manufacturer/Supplier,Knitwear,Womenswear & Menswear,,http://www.rocedes.com.ni/,"Carhartt, Wrangler, Dickies & Nautica",contactus@rocedes.com,(+505) 2263 2032,Nicaragua
Roopa Knitting Mills Ltd.,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Chidren",300 pcs,https://www.roopa.com/,"Supreme, Aimé Leon Dore & Kith",info@roopa.com,(905) 696-8333,Canada
Avid Apparel,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Chidren",,https://theavidgroup.com,"StayMe7o, UFC, OVO, Lucasfilms, Universal Studios, Live Nation & Urban Outfitters",info@avidapparel.ca,1 (800) 258-5404,Canada
Nisa Fashion,Manufacturer,"Knitwear, Outerwear, Denim & Athleisure","Womenswear, Menswear & Chidren",,https://nisa-fashion.com/,NFL,nisafashionnyc@gmail.com,(347) 755-5755,United States
Jarash Holdings,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Chidren",,https://jerashholdings.com/,"New Balance, Nike & The North Face",Web Form,201-285-7973,United States
US Standard Apparel,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Chidren",,https://usstandardapparel.com/,"Gallery Dept., Call Her Daddy, GOLF & Stussy",info@usstandardapparel.com,323-488-8990,United States
Tefron,Manufacturer,Activewear & Athleisure,Womenswear & Menswear,,https://tefron.com/,Gymshark,Web Form,212-858-9586,United States
Euphoric Colors,Manufacturer/Supplier,Knitwear,Womenswear & Menswear,,https://www.euphoriccolors.com/,Available Upon Request,web@euphoriccolors.com,800-775-7227,United States
Stylus Apparel,Manufacturer,Knitwear,"Womenswear, Menswear, Children & Baby",,https://www.stylusapparel.com/,Available Upon Request,Web Form,Web Form,United States
Seam Apparel,Manufacturer,"Knitwear, Dresses & Activewear",Womenswear & Menswear,,https://seamapparel.com/,Available Upon Request,sales@seamapparel.com,323-925-2859,United States
Tack Apparel,Manufacturer,"Knitwear, Activewear & Outerwear","Womenswear, Menswear, Children & Baby",50 pcs,https://tackapparel.com/,Available Upon Request,sales@tackapparel.com,323-800-8653,United States
Good Clothing Company,Manufacturer,"Knitwear, Formal Wear & Pants",Womenswear,50 pcs,https://www.goodclothingcompany.com/,Available Upon Request,info@goodclothingcompany.com,508-567-5194,United States
Lefty Production,Manufacturer,"Formal Wear, Athleisure, Swimwear, Intimates, Leather Goods, Home & Accessories","Womenswear, Menswear & Children",,https://www.leftyproductionco.com/,"Ella Moss, Urban Outfitters & Nordstrom",Web Form,323-515-9266,United States
TEG The Evans Group,Manufacturer,"Knitwear, Formal Wear, Activewear & Bridal",Womenswear & Menswear,50 pcs,https://tegintl.com/,Moncler & Guess,Web Form,800-916-0910,United States
Ari Jogiel,Manufacturer,"Knitwear, Swimwear & Active Wear",Womenswear & Menswear,150 pcs,https://jogiel.com/,The North Face & Vans,theprocess@jogiel.com,213-265-7164,United States
Bomme Studio,Manufacturer,Knitwear & Swimwear,"Womenswear, Menswear & Children",,https://www.bommestudio.com/,Available Upon Request,Web Form,Web Form,United States
Made It LA,Manufacturer/Supplier, Knitwear,Womenswear & Menswear,,https://www.makeitla.com/,Available Upon Request,info@makeitla.com,323-813-6725,United States
Full Speed 100,Manufacturer/Supplier,"Knitwear, Outerwear, Denim Outerwear, Swimwear, Athleisure & Uniform",Womenswear & Menswear,,https://www.fullspeed100.com/,Available Upon Request,hq@fullspeed100.com,323-440-7448,United States
Luxury Knit,Manufacturer/Supplier,"Knitwear, Denim, Intimates, Swimwear, Dresses & Accessories",Womenswear & Menswear,,https://luxuryknit.com/,"Free People, Cintas & Wynn Las Vegas",info@luxuryknit.com,Web Form,United States
Argyle Haus,Manufacturer,"Knitwear, Formal Wear, Loungwear, Athleisure, Swimwear, Denim, Outerwear & Workwear",Womenswear & Menswear,25 pcs,https://www.argylehaus.com/,Available Upon Request,Web Form,818-979-9955,United States
AV Made,Manufacturer,"Knitwear, Formal Wear, Loungwear, Athleisure, Swimwear, Denim & Outerwear",Womenswear & Menswear,,https://avmade.com/,Fear of God & Vuori,Web Form,Web Form,United States
Culture Studio,Manufacturer/Supplier,"Cut & Sew, Screenprinting, Embroidery, Sublimation & Heat Transfer","Womenswear, Menswear & Children",,https://culturestudio.net/,"Live Nation, WWE & Universal Music Group",sales@culturestudio.net,(312) 243-8304,United States
Farzane Fox,Supplier,Knitwear & Accessories,"Womenswear, Menswear, Baby & Animals",,https://fazanefox.co.uk/,"Bella & Frank, Spirit & Grace & Dudley & Co.",fazane@productionlab.co.uk,Web Form,United Kingdom
F.Chand & Co,Manufacturer,Outerwear,Womenswear & Menswear,,https://fchand.co.uk/,"Represent, Jack Wills, Barbour, All Saints & Ben Sherman",info@fchand.co.uk,(+44) 0121 558 7726,United Kingdom
Cotton Frog,Manufacturer,"Knitwear, Outerwear, Hospitality & Workwear",Womenswear & Menswear,,https://www.cottonfrog.co.uk,Available Upon Request,sales@cottonfrog.co.uk,(+44) 0175 298 1844,United Kingdom
Oh Sew Whitty,Manufacturer,Knitwear & Wovens,Womenswear & Menswear,,https://www.ohsewwhitty.co.uk/,Mackintosh & Little Black Outfit,info@ohsewwhitty.co.uk,(+44) 0148 497 3601,United Kingdom
The Sampling Unit,Manufacturer,Formal Wear,Womenswear & Menswear,,https://www.thesamplingunit.co.uk/index.html,Available Upon Request,tsu.andrew@gmail.com,(+44) 0208 800 0911,United Kingdom
The Sewing Factory,Manufacturer,Activewear & Athleisure,Womenswear & Menswear,,https://www.thesewingfactory.co.uk/,Available Upon Request,info@thesewingfactory.co.uk,(+44) 0731 176 8176,United Kingdom
Inmano,Manufacturer,"Knitwear, Wovens, & Formal Wear",Womenswear & Menswear,5 pcs,https://inmano.co.uk/,"Fiorucci, Pikol & Mowalola",hiya@inmano.co.uk,(+44) 0798 557 5350,United Kingdom
Contrado,Supplier,Custom Fabrics,"Womenswear, Menswear, Children & Baby",,https://au.contrado.com/fabrics,Available Upon Request,info@contrado.com,Web Form,United Kingdom
Diamond Style,Manufacturer,Cut & Sew,"Womenswear, Menswear, Children & Baby",50 pcs,https://www.diamondstylesltd.com,Available Upon Request,info@diamondstylesltd.com,(+44) 0116 274 5776,United Kingdom
Ivyi Rose Creations,Manufacturer,Cut & Sew,"Womenswear, Menswear, Children & Baby",,https://www.ivyirosecreations.com,Available Upon Request,info@ivyirose.com,Web Form,United Kingdom
Musa Apparel,Manufacturer,"Knitwear, Wovens, Formal Wear and Eveningwear",Womenswear,25 pcs,https://www.musaapparel.co.uk,Katherine Hooker & Maquien,musaltd@hotmail.com,(+44) 0796 066 0661,United Kingdom
Intimate Apparel Sampes,Manufacturer,Intimates & Swimwear,Mens & Womenswear,,https://intimateapparelsamples.com,"Galvan London, Martine Rose & David Koma",hello@intimateapparelsamples.com,(+44) 0774 673 0489,United Kingdom
Dee Kay Knitwear,Manufacturer,Knitwear & Wovens,"Mens, Womens & Children's",,https://deekayknitwear.com,Available Upon Request,Web Form,(+44) 0116 253 7560,United Kingdom
Fashion Enter,Manufacturer,"Knitwear, Cut & Sew",Womens & Childrens,,https://www.fashion-enter.com,Asos,thefactory@fashion-enter.com,(+44) 0208 809 3311,United Kingdom
Grade House Ltd.,Manufacturer/Supplier,"Knitwear, Cut & Sew, Eveningwear, Wovens & Formal Wear","Menswear, Womenswear & Children's",,https://gradehouseltd.com,"Alexander McQueen, Victoria Beckham, Burberry, Casablanca & Acne Studios",info@gradehouseltd.com,(+44) 0203 544 2244,United Kingdom
Colourways Textiles,Manufacturer/Supplier,Knitwear & Jersey,Menswear & Womenswear,,https://colourwaystextiles.com,Available Upon Request,sales@colourwaystextiles.com,(+44) 0116 482 4215,United Kingdom
RA Smart,Supplier,Textile Printing,"Menswear, Womenswear & Children's",,https://www.rasmart.co.uk,Available Upon Request,hello@rasmart.co.uk,(+44) 0162 557 6232,United Kingdom
B Fashion Studios,Manufacturer,"Knitwear, Cut & Sew, Eveningwear, Wovens & Formal Wear","Menswear, Womenswear & Children's",,https://bfashionstudio.com/,"Ahluwalia, JW Anderson, Pangaia & Casablanca",info@bfashionstudio.com,(+44) 0780 923 5262,United Kingdom
Sew it in London,Manufacturer,"Knitwear, Cut & Sew, Eveningwear, Maternity & Formal Wear","Menswear, Womenswear & Children's",,https://www.sewitinlondon.co.uk,Available Upon Request,info@sewitinlondon.co.uk,(+44) 0203 477 3205,United Kingdom
Lucy Jane,Manufacturer,Pattern Cutter,"Menswear, Womenswear & Children's",,https://www.lucy-jane.com,Available Upon Request,studio@lucy-jane.com,(+44) 0787 574 7820,United Kingdom
Fabrika London,Manufacturer,"Knitwear, Cut & Sew","Menswear, Womenswear & Children's",,https://fabrikalondon.com,Gilda & Pearl & Fyodor Golan,info@fabrikalondon.com,Web Form,United Kingdom
Xpose Limited,Manufacturer,Knitwear & Accessories,"Menswear, Womenswear & Children's",25 pcs,https://xposeltd.co.uk,Topman & ASOS,info@xposeltd.co.uk,(+44) 0161 832 3408,United Kingdom
Tanya Dimitrova,Manufacturer,"Knitwear, Cut & Sew, Eveningwear, Wovens & Formal Wear","Menswear, Womenswear & Children's",1 pc,https://www.tanyadimitrova.com,The White Company & Reiss,tanya@tanyadimitrova.com,(+44) 0208 969 2483,United Kingdom
Denovo Apparel,Manufacturer/Supplier,"Knitwear, Cut & Sew","Menswear, Womenswear & Children's",,https://www.denovo-apparel.com,"Boohoo, In The Style, PLT, Oasis & Karen Millen",sales@denovoapparel.co.uk,Web Form,United Kingdom
Whos Who,Manufacturer,Knitwear & Jersey,"Menswear, Womenswear & Children's",,http://whoswholtd.com,"Asos, Nasty Gal & Topman",sales@whoswholtd.com,(+44) 0116 274 0199,United Kingdom
Whispering Smith,Manufacturer/Supplier,"Outerwear, Jersey, Knitwear, Wovens, Denim, Accessories & Footwear","Menswear, Womenswear & Children's",,https://www.whisperingsmith.com,Asos & Foot Asylum,sales@whisperingsmith.com,(+44) 0161 831 3700,United Kingdom
Poetic Gem,Manufacturer,"Knitwear, Accessories & Wovens","Menswear, Womenswear & Children's",,https://www.poeticgem.com,Next & Primark,contact@poeticgem.com,(+44) 0161 507 3443,United Kingdom
Hook & Eye,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",30 pcs,https://hookandeyeuk.com/,Dark Circle & Beneculture,Web Form,Web Form,United Kingdom
Lotus Garments Group,Manufacturer,Denim,"Menswear, Womenswear & Children's",,https://www.lotusgarments.com,"Levis, Wrangler, Lee, GAP & Ralph Lauren",lotus@lotusgarments.com,20 663735551,Egypt
World Knits,Manufacturer,"Athleisure, Sportswear","Menswear, Womenswear & Children's",,https://worldknitsltd.com,"Adidas, Gymshark & Fila",wkl@wknits.com,230 4038552,Mauritius
Vita Couture,Manufacturer/Supplier,"Outerwear, Knitwear, Wovens & Formal Wear","Menswear, Womenswear & Children's",,https://www.vita-couture.com,Massimo Dutti,contact@vitacouture.com,(+212) 539 400090,Morocco & Barcelona
Larimode,Manufacturer/Supplier,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://www.larimode.com,"Sandro, Massimo Dutti, Mango, Hackett London",contact@larimode.com,"(+212) 5 39 35 26 62 / 
(+212) 5 39 35 26 63",Morocco
Jinane Fashion,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://www.jinanefashion.com/en/index.html,"Zara, Pull&Bear, Mango, Bershka, River Island, Massimo Dutti",Web Form,(+212) 539 400 447,Morocco
Platform & Design,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://platformanddesign.com/index/index.html,"Zara, H&M, Pull&Bear, Massimo Dutti & ASOS",info@platformanddesign.com,(+212) 539 40 08 69,Morocco
Monte Pull,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://montepullcom-93.webself.net/accueil,Available Upon Request,commercial@montepull.com,Web Form,Morocco
Filmod,Manufacturer,"Outerwear, Knitwear, Wovens & Formal Wear",Womenswear,,https://filmod.ma/,Available Upon Request,contact@filmod.ma,(+212) 522 717 676,Morocco
Crossing,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://crossing.ma/,Available Upon Request,info@crossing.ma,(+212) 05 22 72 72 58,Morocco
Simtis,Manufacturer/Supplier,Knitwear & Wovens,"Menswear, Womenswear & Children's",,http://www.simtis.ma/en,"Zara, Dior, Kenzo & Mango",simtis@softgroup.ma,(+212) 05 22 35 15 88,Morocco
Nahid Textil SARL,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear, Children's & Baby",,"https://nahid-textil-sarl.business.site/
","Inditex, Massimo Dutti, Zara, Benetton, Mango",Web Form,(+212) 539 394725,Morocco
Casual Pant,Manufacturer/Supplier,"Outerwear, Knitwear, Wovens & Formal Wear","Menswear, Womenswear & Children's",,https://casualpant.com/,"Zara, Celio & Massimo Dutti",contact@casualpant.com,(+212) 522 711 111,Morocco
Gokaldas,Manufacturer,"Outerwear, Knitwear & Wovens","Menswear, Womenswear & Children's",,https://www.gokaldasexports.com/,"Carhartt, ASOS, Puma, GAP & Columbia",info@gokaldasexports.com,(+91) 80 689 51000,India
Shahi,Manufacturer/Supplier,"Outerwear, Knitwear & Wovens","Menswear, Womenswear & Children's",,https://www.shahi.co.in,"Carhartt, Ralph Lauren, GAP, Levis, Uniqlo, Nike, Michael Kors, H&M & Vans",delhi@shahi.co.in,(+91) 12 942 88000,India
Arvind,Manufacturer,"Denim, Knitwear & Wovens","Menswear, Womenswear & Children's",,https://www.arvind.com/,"Calvin Klein, Carhartt, Tommy Hilfiger & Ed Hardy",info@arvind.in,(+91) 79 682 68000,India
Bhartiya,Manufacturer/Supplier,"Leather Goods, Accessories & Outerwear","Menswear, Womenswear & Children's",,https://www.bhartiya.com/,"Ralph Lauren, ASOS, Levis, Ted Baker & Timberland",bhartiya@bhartiya.com,(+91) 12 448 88555,India
Alpine Apparels,Manufacturer,Accessories & Footwear,"Menswear, Womenswear & Children's",,https://alpineapparels.com,"Ralph Lauren, ASOS & Urban Outfitters",contact@alpineapparels.com,(+91) 12 940 99400,India
Matrix Clothing,Manufacturer,"Knitwear, Wovens, Sportswear & Workwear",Menswear & Womenswear,,https://www.matrixclothing.in/,"Napapijri, Ralph Lauren, The North Face, Superdry, Timberland & Dickies",info@matrixclothing.in,(+91) 12 445 10500,India
Radnik Exports,Manufacturer,"Knitwear, Wovens & Eveningwear",Menswear & Womenswear,,https://www.radnikexports.com,"Tommy Hilfiger, Ralph Lauren, Benetton, Marks&Spencer, H&M & Guess",info@radnikexports.com,(+91) 11 407 48200,India
KH Group,Manufacturer,"Leather Goods, Accessories & Footwear",Menswear & Womenswear,,https://khindia.com/,"Prada, Michael Kors, Ralph Lauren, Coach, Armani & Kate Spade",khgroups@khindia.com,(+91) 44 264 93698,India
Modelama Exports,Manufacturer,"Outerwear, Knitwear, Wovens & Accessories","Menswear, Womenswear & Children's",,https://www.modelama.com/,Ralph Lauren & Nordstrom,info@modelamaexports.com,(+91) 12 423 97843,India
Savi Leathers,Manufacturer,Leather Goods & Accessories,"Menswear, Womenswear & Children's",,https://savileathers.in/,"Ralph Lauren, Micahel Kors, Harley Davidson & Guess",info@savileathers.in,(+91) 12 024 90801,India
The Odd Factory,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",,https://theoddfactory.com/,Available Upon Request,info@theoddfactory.com,(+91) 75 069 22569,India
Hingto,Manufacturer,Athleisure & Sportswear,"Menswear, Womenswear & Children's",,https://www.hingto.com/en-au,"RVCA, Speedo, Adidas & Nimble Activewear",Web Form,Web Form,Australia
CGT Australia,Manufacturer,Knitwear & Wovens,"Menswear, Womenswear & Children's",60 pcs,https://www.cgtaustralia.com,"Harrods, Net-a-Porter, Nike & Adidas",cgtaust@bigpond.net.au,(+03) 9383 4822,Australia
K-Lee Designs,Manufacturer,"Athleisure, Sportswear & Swimwear","Menswear, Womenswear & Children's",,https://kleedesigns.com.au,Available Upon Request,info@kleedesigns.com.au,(+07) 3205 4211,Australia
Darnee Fashions,Manufacturer,Eveningwear & Suiting,Womenswear & Children's,,https://www.darneefashions.com/,"Kloke, Cable Melbourne, Digby's, Victoria&Woods & Anne Hoffman",production@darnee.com,(+03) 9388 9110,Australia
KJ Production House,Manufacturer,"Knitwear, Wovens & Sportswear","Menswear, Womenswear & Children's",,https://www.kjproductionhouse.com.au/index.html,"Little Black Dress, Taylor Sydney, Meri by Design,10 Knots, Dirty Dak's & Bare Bum Bikinis",karen@kjproductionhouse.com.au,(+04) 0401 5780,Australia
WATC Studio,Manufacturer/Supplier,Knitwear & Denim,Blanks for Womenswear & Menswear,,https://watc-studio.com/en-gb,Available Upon Request,Web Form,Web Form,Portugal
Rue Porter,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://rueporter.com/,Available Upon Request,Web Form,Web Form,United States
Made Blanks,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://madeblanks.com/,Available Upon Request,info@madeblanks.com,Web Form,United States
Los Angeles Apparel,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://losangelesapparel.net,Available Upon Request,orders@losangelesapparel.net,(+1) 213-275-3120,United States
House of Blanks,Manufacturer/Supplier,Knitwear & Accessories,Blanks for Womenswear & Menswear,300 pcs,https://wholesale.houseofblanks.com/,"Supreme, Aimé Leon Dore & Kith",Web Form,Web Form,Canada
Velour Garments,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://velourgarmentswholesale.com/,Available Upon Request,bulk@velourgarments.com,Web Form,Spain
Stanley Stella,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://www.stanleystella.com/en-gb/,Available Upon Request,customercare@stanleystella.com,"(+44) 20 37 69 17 81 / 
(+1) 949 932 - 0142 ","Belgium, US"
Seasonal Blanks,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://seasonalblanks.com/,Available Upon Request,info@seasonalblanks.com,Web Form,United Kingdom
S&S Activewear,Wholesaler,Knitwear,Blanks for Womenswear & Menswear,,https://www.ssactivewear.com/,Available Upon Request, orders@ssactivewear.com,(+1) 800-523-2155,United States
Ralawise,Wholesaler,Knitwear,Blanks for Womenswear & Menswear,,https://shop.ralawise.com,Available Upon Request,sales@ralawise.com,(+44) 0800 212 1800,United Kingdom
BTC Activewear,Wholesaler,Knitwear,Blanks for Womenswear & Menswear,,https://www.btcactivewear.co.uk,Available Upon Request,salesteam@btcactivewear.co.uk,Web Form,United Kingdom
Russell Europe,Wholesaler,Knitwear,Blanks for Womenswear & Menswear,,https://www.russelleurope.com/s/?language=en_GB,Available Upon Request,Web Form,Web Form,United Kingdom
Build your Brand,Wholesaler,Knitwear,Blanks for Womenswear & Menswear,,https://www.buildyourbrand.de/,Available Upon Request,info@tbint.de,(+49) 6154 57 40 20,Germany
Tridi Active,Wholesaler,Activewear,Blanks for Womenswear & Menswear,,https://tridriactive.com,Available Upon Request,info@tridiactive.com,Web Form,Europe / United States
Calvi Wholesale,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://calviwholesale.com,Available Upon Request,geral@calviwholesale.com,Web Form,Portugal
Blanks by Thirteen,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://blanksbythirteen.com,Available Upon Request,support@blanksbythirteenstudios.com,Web Form,United States
AS Colour,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://www.ascolour.com.au,Available Upon Request,support@ascolour.com.au,(+61) 03 8677 5850,Australia
Bar One Clothing,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://www.baroneclothing.com,Available Upon Request,sales@baroneclothing.com,(+44) 0141 226 4171,United Kingdom
T-Shirt Personnalise,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,,https://tshirt-bio-personnalise.fr,"Chanel, Hermes & Givenchy",contact@tshirt-bio-personnalise.fr,01 46 06 90 73,France
The T-Shirt Factory,Manufacturer/Supplier,"Knitwear, Screenprinting, DTG & Embroidery",Blanks for Womenswear & Menswear,,https://www.thetshirt-factory.co.uk,Available Upon Request,info@thetshirt-factory.co.uk,(+44) 0116 262 0786,United Kingdom
JB Screen Printing & Embroidery,Manufacturer/Supplier,"Knitwear, Screenprinting, DTG, Vinyl & Embroidery","Womenswear, Menswear & Children",,https://jbprintny.com,Available Upon Request,JBPrintNY@gmail.com,(+1) 718-799-6765,United States
Money Merch,Printer,"Screenprinting, DTG & Embroidery","Womenswear, Menswear & Children",,https://moneymerch.com,Available Upon Request,info@moneymerch.com,(+1) 714 900-7290,United States
October Textiles,Printer,Screenprinting & Embroidery,"Womenswear, Menswear & Children",,https://www.october.co.uk,Represent & Cole Buxton,info@october.co.uk,(+44) 0115 958 5000,United Kingdom
